Bereich,Unterbereich,Teilbereich31,Teilbereich,Menge,Jahr,lfdNr
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),2,Zuwendungen und allgemeine Umlagen,-26440.00,2009,6021
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),10,Ordentliche Erträge,-26440.00,2009,6022
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),13,Aufwendungen f.Sach-/Dienstleistungen,97649.99,2009,6023
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),15,Transferaufwendungen,155752.98,2009,6024
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),16,Sonstige ordentliche Aufwendungen,33983.49,2009,6025
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),17,Ordentliche Aufwendungen,287386.46,2009,6026
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),18,Ordentliches Ergebnis,260946.46,2009,6027
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),22,Ergebnis lfd. Verwaltungstätigkeit,260946.46,2009,6028
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),26,Ergebnis vor int.Leistungsbeziehungen,260946.46,2009,6029
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",2,Zuwendungen und allgemeine Umlagen,0.00,2009,6031
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",4,Öffentlich-rechtl. Leistungsentgelte,0.00,2009,6032
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",5,Privatrechtliche Leistungsentgelte,-19925.60,2009,6033
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",6,Kostenerstattungen und Kostenumlag,0.00,2009,6034
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",7,Sonstige ordentliche Erträge,-35283.48,2009,6035
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",10,Ordentliche Erträge,-55209.08,2009,6036
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",11,Personalaufwendungen,699165.70,2009,6037
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",12,Versorgungsaufwendungen,108760.94,2009,6038
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",13,Aufwendungen f.Sach-/Dienstleistungen,108832.67,2009,6039
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",14,Bilanzielle Abschreibungen,67857.77,2009,6040
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",15,Transferaufwendungen,75016.99,2009,6041
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",16,Sonstige ordentliche Aufwendungen,2004762.09,2009,6042
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",17,Ordentliche Aufwendungen,3064396.16,2009,6043
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",18,Ordentliches Ergebnis,3009187.08,2009,6044
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",22,Ergebnis lfd. Verwaltungstätigkeit,3009187.08,2009,6045
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",26,Ergebnis vor int.Leistungsbeziehungen,3009187.08,2009,6046
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",28,Aufwend. aus int.Leistungsbeziehungen,478299.96,2009,6047
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",Interne,Leistungsbeziehungen,478299.96,2009,6048
Innere Verwaltung," OB, BM und Verwaltungsführung",2,Zuwendungen und allgemeine Umlagen,0.00,2009,6050
Innere Verwaltung," OB, BM und Verwaltungsführung",6,Kostenerstattungen und Kostenumlagen,-43500.00,2009,6051
Innere Verwaltung," OB, BM und Verwaltungsführung",7,Sonstige ordentliche Erträge,0.00,2009,6052
Innere Verwaltung," OB, BM und Verwaltungsführung",10,Ordentliche Erträge,-43500.00,2009,6053
Innere Verwaltung," OB, BM und Verwaltungsführung",11,Personalaufwendungen,2117040.37,2009,6054
Innere Verwaltung," OB, BM und Verwaltungsführung",12,Versorgungsaufwendungen,636968.94,2009,6055
Innere Verwaltung," OB, BM und Verwaltungsführung",13,Aufwendungen f.Sach-/Dienstleistungen,118102.93,2009,6056
Innere Verwaltung," OB, BM und Verwaltungsführung",14,Bilanzielle Abschreibungen,13866.35,2009,6057
Innere Verwaltung," OB, BM und Verwaltungsführung",15,Transferaufwendungen,5000.00,2009,6058
Innere Verwaltung," OB, BM und Verwaltungsführung",16,Sonstige ordentliche Aufwendungen,176976.56,2009,6059
Innere Verwaltung," OB, BM und Verwaltungsführung",17,Ordentliche Aufwendungen,3067955.15,2009,6060
Innere Verwaltung," OB, BM und Verwaltungsführung",18,Ordentliches Ergebnis,3024455.15,2009,6061
Innere Verwaltung," OB, BM und Verwaltungsführung",22,Ergebnis lfd. Verwaltungstätigkeit,3024455.15,2009,6062
Innere Verwaltung," OB, BM und Verwaltungsführung",26,Ergebnis vor int.Leistungsbeziehungen,3024455.15,2009,6063
Innere Verwaltung," OB, BM und Verwaltungsführung",28,Aufwend. aus int.Leistungsbeziehungen,164400.00,2009,6064
Innere Verwaltung," OB, BM und Verwaltungsführung",Interne,Leistungsbeziehungen,164400.00,2009,6065
Innere Verwaltung, Gleichstellung von Frau und Mann,2,Zuwendungen und allgemeine Umlagen,0.00,2009,6067
Innere Verwaltung, Gleichstellung von Frau und Mann,5,Privatrechtliche Leistungsentgelte,-17649.05,2009,6068
Innere Verwaltung, Gleichstellung von Frau und Mann,10,Ordentliche Erträge,-17649.05,2009,6069
Innere Verwaltung, Gleichstellung von Frau und Mann,11,Personalaufwendungen,246359.22,2009,6070
Innere Verwaltung, Gleichstellung von Frau und Mann,12,Versorgungsaufwendungen,28738.99,2009,6071
Innere Verwaltung, Gleichstellung von Frau und Mann,13,Aufwendungen f.Sach-/Dienstleistungen,15720.00,2009,6072
Innere Verwaltung, Gleichstellung von Frau und Mann,14,Bilanzielle Abschreibungen,1987.04,2009,6073
Innere Verwaltung, Gleichstellung von Frau und Mann,15,Transferaufwendungen,277152.45,2009,6074
Innere Verwaltung, Gleichstellung von Frau und Mann,16,Sonstige ordentliche Aufwendungen,29545.00,2009,6075
Innere Verwaltung, Gleichstellung von Frau und Mann,17,Ordentliche Aufwendungen,599502.70,2009,6076
Innere Verwaltung, Gleichstellung von Frau und Mann,18,Ordentliches Ergebnis,581853.65,2009,6077
Innere Verwaltung, Gleichstellung von Frau und Mann,22,Ergebnis lfd. Verwaltungstätigkeit,581853.65,2009,6078
Innere Verwaltung, Gleichstellung von Frau und Mann,26,Ergebnis vor int.Leistungsbeziehungen,581853.65,2009,6079
Innere Verwaltung, Gleichstellung von Frau und Mann,28,Aufwend. aus int.Leistungsbeziehungen,23480.04,2009,6080
Innere Verwaltung, Gleichstellung von Frau und Mann,Interne,Leistungsbeziehungen,23480.04,2009,6081
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,6,Kostenerstattungen und Kostenumlagen,-73465.00,2009,6083
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,10,Ordentliche Erträge,-73465.00,2009,6084
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,11,Personalaufwendungen,587975.82,2009,6085
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,12,Versorgungsaufwendungen,63576.94,2009,6086
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,13,Aufwendungen f.Sach-/Dienstleistungen,86636.63,2009,6087
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,14,Bilanzielle Abschreibungen,1943.07,2009,6088
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,15,Transferaufwendungen,0.00,2009,6089
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,16,Sonstige ordentliche Aufwendungen,15778.82,2009,6090
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,17,Ordentliche Aufwendungen,755911.28,2009,6091
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,18,Ordentliches Ergebnis,682446.28,2009,6092
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,22,Ergebnis lfd. Verwaltungstätigkeit,682446.28,2009,6093
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,26,Ergebnis vor int.Leistungsbeziehungen,682446.28,2009,6094
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,28,Aufwend. aus int.Leistungsbeziehungen,23480.04,2009,6095
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,Interne,Leistungsbeziehungen,23480.04,2009,6096
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,6,Kostenerstattungen und Kostenumlagen,-37440.00,2009,6098
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,7,Sonstige ordentliche Erträge,-5824.00,2009,6099
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,10,Ordentliche Erträge,-43264.00,2009,6100
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,11,Personalaufwendungen,820802.09,2009,6101
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,12,Versorgungsaufwendungen,254957.93,2009,6102
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,13,Aufwendungen f.Sach-/Dienstleistungen,57240.00,2009,6103
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,14,Bilanzielle Abschreibungen,4535.40,2009,6104
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,16,Sonstige ordentliche Aufwendungen,10468.38,2009,6105
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,17,Ordentliche Aufwendungen,1148003.80,2009,6106
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,18,Ordentliches Ergebnis,1104739.80,2009,6107
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,22,Ergebnis lfd. Verwaltungstätigkeit,1104739.80,2009,6108
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,26,Ergebnis vor int.Leistungsbeziehungen,1104739.80,2009,6109
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,28,Aufwend. aus int.Leistungsbeziehungen,52840.08,2009,6110
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,Interne,Leistungsbeziehungen,52840.08,2009,6111
Innere Verwaltung, Public Relations,2,Zuwendungen und allgemeine Umlagen,0.00,2009,6113
Innere Verwaltung, Public Relations,5,Privatrechtliche Leistungsentgelte,-12194.55,2009,6114
Innere Verwaltung, Public Relations,6,Kostenerstattungen und Kostenumlagen,-102556.81,2009,6115
Innere Verwaltung, Public Relations,10,Ordentliche Erträge,-114751.36,2009,6116
Innere Verwaltung, Public Relations,11,Personalaufwendungen,771628.33,2009,6117
Innere Verwaltung, Public Relations,12,Versorgungsaufwendungen,57424.16,2009,6118
Innere Verwaltung, Public Relations,13,Aufwendungen f.Sach-/Dienstleistungen,55824.94,2009,6119
